#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	broflows
#open	2017-09-10-13-08-27
#fields	orig1	po1	dest1	pd1	uid1	informacion	orig2	po2	dest2	pd2	uid2
#types	addr	port	addr	port	string	string	addr	port	addr	port	string
192.168.202.110	45706	192.168.22.100	35197	Cp5OPQ3zfeTLRclGkc	 emparejado con 	192.168.202.110	45706	192.168.22.100	445	CDzDxj3PZkupgQpqr8
192.168.202.110	9110	192.168.22.25	32480	Cbeful3dqHZsb9fcVk	 emparejado con 	192.168.202.110	9110	192.168.22.25	135	Cg4rtN1PdpeA9o4Z9k
192.168.202.110	9184	192.168.22.101	65278	CvypTx319ecciRkU71	 emparejado con 	192.168.202.110	9184	192.168.22.101	22	Cqbuq03yBU5njIh4Xf
192.168.202.110	9024	192.168.22.100	26520	Cq6ho3CeUCwU6cRii	 emparejado con 	192.168.202.110	9024	192.168.22.100	139	CnWtimxEUBOm950Bi
192.168.202.110	22463	192.168.22.100	4493	CpOmmt6jqrUEvLhn1	 emparejado con 	192.168.202.110	22463	192.168.22.100	445	CRBAdYfAgWkNKTQ5l
192.168.202.110	30233	192.168.22.25	10393	CXLJbb1PqJJxofyy6c	 emparejado con 	192.168.202.110	30233	192.168.22.25	49166	CK5FNv2W0TP1EaNopk
192.168.202.76	9476	10.10.99.156	5060	CXCFHm3IsDHKWgR1Vk	 emparejado con 	192.168.202.76	9476	10.10.99.156	5060	Chc9mm1QsOcUmgdjkf
192.168.202.76	9476	10.10.99.156	5060	CXCFHm3IsDHKWgR1Vk	 emparejado con 	192.168.202.76	9476	10.10.99.156	5060	Chc9mm1QsOcUmgdjkf
192.168.202.76	9476	10.10.99.156	5060	CXCFHm3IsDHKWgR1Vk	 emparejado con 	192.168.202.76	9476	10.10.99.156	5060	Chc9mm1QsOcUmgdjkf
192.168.202.76	9476	10.10.99.156	5060	CXCFHm3IsDHKWgR1Vk	 emparejado con 	192.168.202.76	9476	10.10.99.156	5060	Chc9mm1QsOcUmgdjkf
192.168.202.76	9476	10.10.99.156	5060	CXCFHm3IsDHKWgR1Vk	 emparejado con 	192.168.202.76	9476	10.10.99.156	5060	Chc9mm1QsOcUmgdjkf
